epoch,step,train_loss,train_loss_epoch
0,1220,0.05461740493774414,
0,2441,0.05678075551986694,
0,3662,0.04448661208152771,
0,4883,0.04596199095249176,
0,6103,,0.05172649398446083
1,6104,0.04482810199260712,
1,7325,0.0434267595410347,
1,8546,0.045062076300382614,
1,9767,0.042124856263399124,
1,10988,0.0438748300075531,
1,12207,,0.04357206076383591
2,12209,0.04191793128848076,
2,13430,0.04118182510137558,
2,14651,0.04153510183095932,
2,15872,0.04117351770401001,
2,17093,0.04070645570755005,
2,18311,,0.041248470544815063
3,18314,0.040877923369407654,
3,19535,0.039406199008226395,
3,20756,0.040167175233364105,
3,21977,0.03829044848680496,
3,23198,0.0392426960170269,
3,24415,,0.03910006210207939
4,24419,0.03776510804891586,
4,25640,0.03836585581302643,
4,26861,0.038448765873909,
4,28082,0.03706042468547821,
4,29303,0.037629932165145874,
4,30519,,0.03736176714301109
5,30524,0.03601304441690445,
5,31745,0.03610828518867493,
5,32966,0.036682963371276855,
5,34187,0.0357501357793808,
5,35408,0.03529396653175354,
5,36623,,0.035979095846414566
6,36629,0.034999433904886246,
6,37850,0.03503185883164406,
6,39071,0.03539639711380005,
6,40292,0.03397282212972641,
6,41513,0.034289710223674774,
6,42727,,0.03484073653817177
7,42734,0.03442065417766571,
7,43955,0.03272378444671631,
7,45176,0.03431675583124161,
7,46397,0.033031947910785675,
7,47618,0.03435467928647995,
7,48831,,0.03392979875206947
8,48839,0.03283119201660156,
8,50060,0.03273971378803253,
8,51281,0.03428097069263458,
8,52502,0.03365802764892578,
8,53723,0.033470455557107925,
8,54935,,0.033218953758478165
9,54944,0.032530009746551514,
9,56165,0.031794168055057526,
9,57386,0.032701779156923294,
9,58607,0.031640104949474335,
9,59828,0.032371170818805695,
9,61039,,0.03249727189540863
10,61049,0.03194800764322281,
10,62270,0.032658010721206665,
10,63491,0.033305034041404724,
10,64712,0.03140880912542343,
10,65933,0.032057806849479675,
10,67143,,0.03199462220072746
11,67154,0.031239282339811325,
11,68375,0.03051593340933323,
11,69596,0.032590609043836594,
11,70817,0.03110387548804283,
11,72038,0.03238711878657341,
11,73247,,0.03150767460465431
